,0
2552610568,4
2156125540,4
1991540312,4
2740260234,4
2261170328,4
2307931228,7
147013626,7
1984592486,7
2742251322,7
2701896018,7
2779474496,7
2100083547,4
2515970731,4
2568658272,49
2249151445,49
2720833842,49
1914346118,49
2136338444,49
1318931621,49
2038474249,49
732502049,4
2692804893,50
1951470807,50
2609583670,50
2245941028,50
2227761767,50
2169084497,4
2849462137,4
2596793557,4
2702065329,28
2196990031,28
2580091689,28
2160209690,28
2668542681,64
2849618029,64
2233004416,25
2157344294,25
2763511202,25
2892387634,2
2622573361,4
2117346615,4
2214687903,2
1981792830,49
1852615327,49
3025689243,49
2632100996,41
2172034672,41
2569194456,41
2172812859,41
241289278,41
2082501658,41
2725369923,46
2062386150,46
2611825001,46
2084372447,52
2105538526,52
1815419264,52
2080757493,53
2023559682,53
2148802362,53
2605129895,22
2305352395,22
2588863623,19
2498951274,19
2108339900,19
2291328752,19
2137176973,19
2035597422,19
2114095759,19
725070507,48
2133561768,48
2617990450,23
2092393475,23
2892676761,49
2105066742,49
2938498113,58
2805503700,23
2117624600,23
2438731512,23
2604367054,23
2322263594,23
734494555,7
2031234607,7
2637622308,7
2510253455,7
2618454474,7
2130524083,7
2777847817,7
2810641159,1
1845199564,1
2097533992,1
2776898996,64
2612606007,64
2161618671,64
2290308898,64
2117006983,42
2106217245,42
2142156605,42
2158146792,54
2117062376,54
2166349599,54
2154425329,54
2493627917,54
2505878900,54
2001182112,55
2672042840,55
1687740347,55
2785822146,56
1959313252,56
512662712,56
2099086485,56
2800400025,55
1894162589,55
1834974074,55
2073196788,55
2522007272,55
2788943291,41
2433408337,41
2693982207,41
2109092734,41
2133198171,41
2111635597,50
669266039,50
2015848640,50
2800385328,23
2470066632,23
2473114398,23
2980710956,58
2656256758,58
2625523953,58
3016540093,43
2242846294,43
2312749773,26
1173742685,26
2145857513,26
2250437319,25
2101388286,25
2678998810,25
630503408,25
2579258004,17
2097383277,17
2152246792,17
1979261613,60
1879892137,60
1982346297,60
1020315735,60
2584902656,43
2464684916,43
2433709825,37
2114084082,37
2148209464,37
2104476514,37
2569971984,37
2250424234,37
1652214885,37
2557172173,61
2220481900,61
2200973956,61
1895840757,61
1980906437,61
2022769202,61
2107411516,24
630797979,64
2140268221,64
2071230401,64
3037835416,16
2993678643,62
2789916842,62
2648775070,62
2570456935,62
3019243436,62
2654640365,33
1140726602,33
2438616317,33
2261601473,33
2155994924,33
2597749516,33
2529143971,28
2086844957,28
1227288424,28
2139486911,28
2032513802,17
1978168976,17
2422217012,63
2107148473,63
2629553850,63
2794285133,64
597169202,64
2899858271,2
2025394065,2
2098515685,61
1996606470,61
2316790812,61
2614712649,16
2892691932,16
2609617489,16
1682357100,16
1981478034,17
1992033580,4
2807272074,37
422296881,37
1996774346,37
2137984800,55
2100422320,55
2607604270,55
1983009502,65
1796181411,65
2104028897,65
2572529657,65
2203712776,65
2171129370,65
2162495446,25
2597396421,28
716115564,28
2104932586,28
1230008937,66
704137116,66
1686798848,66
2639241184,46
2625553938,46
2656111214,46
2569719947,46
2595125025,46
2217060801,46
2553200485,41
2138485215,41
2048068789,25
1935992706,25
