From,To,Weight
2004053281,1167627009,1
2787066970,2683440262,1
3014467276,2761578285,1
2394545734,2672289275,1
2125287306,2118239819,1
2120466059,2118239819,1
2125287306,2120466059,1
2098050749,2116996923,1
2441098608,2103558654,1
2127728738,2103558654,1
2725024828,2103558654,1
2441098608,2127728738,1
2725024828,2441098608,1
2725024828,2127728738,1
2105168322,205238041,1
2796887735,2105168322,1
2628642819,2105168322,1
2595821844,2105168322,1
2170222687,2105168322,1
2796887735,205238041,6
2628642819,205238041,1
2595821844,205238041,1
2170222687,205238041,1
2796887735,2628642819,1
2796887735,2595821844,1
2796887735,2170222687,1
2628642819,2595821844,1
2628642819,2170222687,1
2595821844,2170222687,1
2516441277,2109145227,1
2152322787,2109145227,1
2109145227,1903705225,1
2516441277,2152322787,1
2516441277,1903705225,1
2152322787,1903705225,1
2581822976,2173375723,1
2715735575,2173375723,1
2715735575,2581822976,1
2801412755,2664603921,1
2664603921,2510154511,1
2801412755,2510154511,1
2601345745,711331909,1
2601345745,2547087102,1
2738577835,2601345745,1
2601345745,2465744786,1
3037436469,2601345745,1
2662164917,2601345745,1
2614108134,2601345745,1
2547087102,711331909,1
2738577835,711331909,2
2465744786,711331909,1
3037436469,711331909,1
2662164917,711331909,1
2614108134,711331909,1
2738577835,2547087102,1
2547087102,2465744786,1
3037436469,2547087102,1
2662164917,2547087102,1
2614108134,2547087102,1
2738577835,2465744786,1
3037436469,2738577835,1
2738577835,2662164917,1
2738577835,2614108134,1
3037436469,2465744786,1
2662164917,2465744786,1
2614108134,2465744786,1
3037436469,2662164917,1
3037436469,2614108134,1
2662164917,2614108134,1
2998618672,2155432522,1
2473370095,2155432522,1
2155432522,2111588886,1
2314669109,2155432522,1
2998618672,2473370095,1
2998618672,2111588886,1
2998618672,2314669109,1
2473370095,2111588886,1
2473370095,2314669109,1
2314669109,2111588886,1
2421531779,613547560,1
2189779294,613547560,1
2421531779,2189779294,1
2330967721,2108883516,1
2644075152,2108883516,1
3037315023,2108883516,2
2644075152,2330967721,1
3037315023,2330967721,1
3037315023,2644075152,1
2228875950,1687669298,1
2241751670,2228875950,1
2241751670,1687669298,1
1942464127,3024629983,1
2095869832,2316746638,1
2764460116,2463180381,2
2765059440,2764460116,2
2765059440,2463180381,2
2094537730,2319867906,1
2644518414,2012775402,2
2568663348,2012775402,2
2154585466,2012775402,2
2016105447,2012775402,1
2622293574,2012775402,1
2644518414,2568663348,2
2644518414,2154585466,2
2644518414,2016105447,1
2644518414,2622293574,1
2568663348,2154585466,2
2568663348,2016105447,1
2622293574,2568663348,1
2154585466,2016105447,1
2622293574,2154585466,1
2622293574,2016105447,1
2644533136,2123634686,1
2644533136,2113003292,1
2644533136,676783168,1
2644533136,2065469516,1
2123634686,2113003292,1
2123634686,676783168,2
2123634686,2065469516,1
2113003292,676783168,1
2113003292,2065469516,1
2065469516,676783168,1
2294534155,2599079560,1
2031541791,2599079560,1
1241591944,2599079560,1
2031541791,2294534155,1
1241591944,2294534155,1
1241591944,2031541791,1
2123556472,2299591030,1
2004384997,2299591030,1
2004384997,2123556472,1
2787064192,2571633976,1
2571633976,2179214099,1
2787064192,2179214099,1
2246631901,581165881,4
2246631901,2059449611,3
2059449611,581165881,4
2096772260,2461380065,1
2720194144,2699961332,1
2720194144,2011716222,1
2720194144,2527619589,1
2699961332,2011716222,1
2699961332,2527619589,1
2527619589,2011716222,1
2129486635,1974593854,2
2124267471,1974593854,2
2654166581,1974593854,1
2129486635,2124267471,2
2654166581,2129486635,1
2654166581,2124267471,1
2431841966,2147025700,2
2431841966,2163307476,5
2163307476,2147025700,2
2552610568,2156125540,2
2156125540,1991540312,1
2552610568,1991540312,1
2740260234,2261170328,1
2307931228,147013626,2
1984592486,147013626,2
2307931228,1984592486,2
2742251322,1984592486,1
2742251322,2701896018,1
2779474496,2742251322,1
2784558238,2742251322,1
2792551744,2742251322,1
2701896018,1984592486,1
2779474496,1984592486,1
2784558238,1984592486,1
2792551744,1984592486,1
2779474496,2701896018,1
2784558238,2701896018,1
2792551744,2701896018,1
2784558238,2779474496,1
2792551744,2779474496,1
2100083547,2515970731,1
1991540312,2156125540,1
2568658272,2249151445,1
2720833842,2249151445,1
2249151445,1914346118,1
2249151445,2136338444,1
2249151445,1318931621,1
2249151445,2038474249,1
2720833842,2568658272,1
2568658272,1914346118,1
2568658272,2136338444,1
2568658272,1318931621,1
2568658272,2038474249,1
2720833842,1914346118,1
2720833842,2136338444,1
2720833842,1318931621,1
2720833842,2038474249,1
2136338444,1914346118,1
1914346118,1318931621,1
2038474249,1914346118,1
2136338444,1318931621,1
2136338444,2038474249,1
2038474249,1318931621,1
732502049,2316746638,2
2692804893,1951470807,1
2692804893,2609583670,1
2692804893,2245941028,1
2692804893,2227761767,1
2609583670,1951470807,1
2245941028,1951470807,1
2227761767,1951470807,1
2609583670,2245941028,1
2609583670,2227761767,1
2245941028,2227761767,1
2261170328,2169084497,4
2849462137,2261170328,1
2596793557,2261170328,3
2849462137,2169084497,1
2596793557,2169084497,3
2849462137,2596793557,1
2702065329,2196990031,1
2580091689,2196990031,1
2196990031,2160209690,1
2702065329,2580091689,1
2702065329,2160209690,1
2580091689,2160209690,1
2668542681,2849618029,1
2233004416,2157344294,2
2763511202,2233004416,1
2892387634,2233004416,1
2763511202,2157344294,1
2892387634,2157344294,3
2892387634,2763511202,1
2622573361,2117346615,1
2580865218,2117346615,1
2622573361,2580865218,1
2214687903,2809786316,1
1981792830,1852615327,1
3025689243,1852615327,1
3025689243,1981792830,1
2632100996,2172034672,1
2632100996,2569194456,1
2632100996,2172812859,1
2632100996,241289278,1
2632100996,2082501658,1
2569194456,2172034672,1
2172812859,2172034672,1
2172034672,241289278,1
2172034672,2082501658,1
2569194456,2172812859,1
2569194456,241289278,1
2569194456,2082501658,1
2172812859,241289278,1
